FOR COMPTROLLER ( 1),,,,,,,,,,,,,,,,,,,,,,
,,KARINA VILLA,,,,,STEPHANIE A. KIFOWIT,,,,,HOLLY KIM,,,,,MARGARET CROKE,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Downers Grove 099,1136,11,14,28,0,53,2,5,8,0,15,6,7,11,0,24,6,2,20,0,28,120
Downers Grove 100,1031,8,16,32,0,56,3,3,11,0,17,4,11,18,0,33,1,12,10,0,23,129
Downers Grove 101,1189,9,16,24,0,49,3,4,7,0,14,6,12,16,0,34,4,14,30,0,48,145
Downers Grove 102,1182,2,12,12,0,26,0,3,5,0,8,1,10,14,0,25,7,16,25,0,48,107
Downers Grove 103,887,6,7,25,0,38,1,2,4,0,7,3,6,12,0,21,8,11,12,0,31,97
Lisle 001,1145,13,12,30,0,55,4,8,7,0,19,15,21,18,0,54,17,25,21,0,63,191
Lisle 002,986,23,14,26,0,63,4,4,4,0,12,12,13,13,0,38,4,6,26,0,36,149
Lisle 003,1160,18,11,26,0,55,4,9,12,0,25,15,15,26,0,56,14,7,15,0,36,172
Lisle 004,1172,15,16,18,0,49,8,19,14,0,41,22,21,30,0,73,24,16,34,0,74,237
Lisle 005,1216,13,16,24,0,53,4,10,5,0,19,28,43,22,0,93,8,19,13,0,40,205
Lisle 006,1316,12,18,39,0,69,11,5,7,0,23,16,13,29,1,59,10,18,36,0,64,215
Lisle 007,1161,9,14,21,0,44,3,4,8,0,15,13,16,28,0,57,13,4,20,0,37,153
Lisle 008,1161,8,12,33,0,53,6,8,9,0,23,11,18,34,0,63,11,16,38,0,65,204
Lisle 009,1249,23,19,19,0,61,9,2,8,0,19,16,17,24,0,57,32,20,31,0,83,220
Lisle 010,1279,25,20,22,0,67,4,5,7,0,16,16,36,21,0,73,33,26,32,0,91,247
