FOR UNITED STATES SENATOR ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASEY CHLEBEK,,,,,DON TRACY,,,,,R. CARY CAPPARELLI,,,,,PAMELA DENISE LONG,,,,,"JIMMY LEE TILLMAN, II",,,,,JEANNIE EVANS,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Downers Grove 024,982,2,1,4,0,7,8,4,10,0,22,3,2,1,0,6,4,2,5,0,11,0,1,0,0,1,11,3,15,0,29,76
Downers Grove 025,1099,3,2,6,0,11,7,6,12,0,25,4,2,3,0,9,4,3,0,0,7,0,0,1,0,1,4,5,16,0,25,78
Downers Grove 026,1104,1,2,7,0,10,19,9,25,0,53,1,0,1,0,2,4,5,0,0,9,0,0,0,0,0,3,1,14,0,18,92
Downers Grove 027,1072,3,0,6,0,9,5,5,9,0,19,3,0,5,0,8,0,0,2,0,2,1,0,1,0,2,4,1,13,0,18,58
Downers Grove 028,978,0,0,7,0,7,18,9,26,0,53,2,0,4,0,6,1,2,4,0,7,0,0,1,0,1,4,2,12,0,18,92
Downers Grove 029,917,0,4,1,0,5,4,2,4,0,10,0,0,2,0,2,3,3,3,0,9,1,1,1,0,3,10,4,14,0,28,57
Downers Grove 030,927,1,1,1,0,3,3,3,19,0,25,6,6,8,0,20,1,0,4,0,5,0,1,1,0,2,10,3,17,0,30,85
Downers Grove 031,1150,2,0,4,0,6,8,14,6,0,28,0,1,2,0,3,3,4,4,0,11,1,0,0,0,1,7,8,13,0,28,77
Downers Grove 032,1092,0,0,1,0,1,10,12,12,0,34,0,1,2,0,3,2,0,0,0,2,0,0,1,0,1,9,6,13,0,28,69
Downers Grove 033,1019,1,0,1,0,2,18,12,32,0,62,5,0,1,0,6,1,0,1,0,2,0,1,0,0,1,3,1,8,0,12,85
Downers Grove 034,865,1,4,3,0,8,9,12,9,0,30,1,0,0,0,1,0,1,4,0,5,0,0,1,0,1,4,4,3,0,11,56
