FOR GOVERNOR AND LIEUTENANT GOVERNOR ( 1),,,,,,,,,,,,,,,,,,,,,,
,,TED DABROWSKI / CARRIE MENDOZA,,,,,JAMES MENDRICK / ROBERT RENTERIA,,,,,DARREN BAILEY / AARON B. DEL MAR,,,,,RICK HEIDNER / CHRISTINA NEITZKE-TROIKE,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Downers Grove 064,902,13,5,15,0,33,9,4,10,0,23,5,8,6,0,19,0,3,4,0,7,82
Downers Grove 065,971,1,7,27,0,35,4,7,10,0,21,7,6,21,0,34,1,2,3,0,6,96
Downers Grove 066,908,15,5,35,0,55,2,1,10,0,13,4,1,8,0,13,1,2,5,0,8,89
Downers Grove 067,903,7,2,14,0,23,10,5,14,0,29,1,8,18,0,27,3,2,5,0,10,89
Downers Grove 068,1022,4,2,22,0,28,5,4,15,0,24,3,3,17,0,23,2,0,2,0,4,79
Downers Grove 069,1245,9,2,21,0,32,8,0,16,0,24,11,6,13,0,30,1,3,4,0,8,94
Downers Grove 070,901,10,5,19,0,34,5,4,9,0,18,11,2,10,0,23,3,0,1,0,4,79
Downers Grove 071,971,8,4,13,0,25,4,2,9,0,15,14,8,11,0,33,3,0,6,0,9,82
Downers Grove 072,1068,8,2,20,0,30,8,6,18,0,32,10,5,12,0,27,3,0,3,0,6,95
Downers Grove 073,1190,4,7,22,0,33,11,4,37,0,52,4,7,19,0,30,2,1,8,0,11,126
Downers Grove 074,1004,3,10,7,0,20,8,11,15,0,34,5,3,10,0,18,1,6,2,0,9,81
Downers Grove 075,907,3,2,14,0,19,2,3,5,0,10,1,2,16,0,19,2,0,8,0,10,58
Downers Grove 076,1175,7,3,8,0,18,5,5,13,0,23,5,4,1,0,10,2,0,2,0,4,55
