JoinField,JoinField_alt,Ted Dabrowski & Carrie Mendoza,James Mendrick & Robert Renteria,Darren Bailey & Aaron B. Del Mar,Rick Heidner & Christina Neitzke-Troike,Total Voters
COOK:7600008,COOK:Hanover Precinct 8,19,3,21,12,55
COOK:7600009,COOK:Hanover Precinct 9,24,8,22,5,59
COOK:7600010,COOK:Hanover Precinct 10,14,2,15,6,37
COOK:7600011,COOK:Hanover Precinct 11,22,7,19,8,56
COOK:7600012,COOK:Hanover Precinct 12,10,4,12,3,29
COOK:7600013,COOK:Hanover Precinct 13,20,2,12,10,44
COOK:7600014,COOK:Hanover Precinct 14,30,5,26,15,76
COOK:7600015,COOK:Hanover Precinct 15,17,4,18,7,46
COOK:7600016,COOK:Hanover Precinct 16,31,8,41,16,96
COOK:7600017,COOK:Hanover Precinct 17,14,9,19,6,48
COOK:7600018,COOK:Hanover Precinct 18,19,5,12,1,37
COOK:7600019,COOK:Hanover Precinct 19,37,2,29,27,95
COOK:7600020,COOK:Hanover Precinct 20,33,13,22,19,87
COOK:7600021,COOK:Hanover Precinct 21,34,6,26,19,85
COOK:7600022,COOK:Hanover Precinct 22,26,2,29,20,77
COOK:7600023,COOK:Hanover Precinct 23,19,6,30,4,59
COOK:7600024,COOK:Hanover Precinct 24,13,7,6,3,29
COOK:7600025,COOK:Hanover Precinct 25,36,11,33,20,100
COOK:7600026,COOK:Hanover Precinct 26,36,8,22,10,76
COOK:7600027,COOK:Hanover Precinct 27,67,18,65,34,184
COOK:7600028,COOK:Hanover Precinct 28,30,1,22,11,64
COOK:7600029,COOK:Hanover Precinct 29,6,5,6,4,21
COOK:7600030,COOK:Hanover Precinct 30,25,8,29,12,74
COOK:7600031,COOK:Hanover Precinct 31,24,8,21,8,61
COOK:7600032,COOK:Hanover Precinct 32,9,2,12,5,28
COOK:7600033,COOK:Hanover Precinct 33,16,4,23,9,52
COOK:7600034,COOK:Hanover Precinct 34,20,4,21,8,53
COOK:7600035,COOK:Hanover Precinct 35,12,7,16,4,39
COOK:7600036,COOK:Hanover Precinct 36,8,4,11,6,29
COOK:7600037,COOK:Hanover Precinct 37,27,3,29,14,73
COOK:7600038,COOK:Hanover Precinct 38,17,11,37,9,74
