GOVERNOR AND LIEUTENANT GOVERNOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Ted Dabrowski / Carrie Mendoza,,,,,(James Mendrick / Robert Renteria,,,,,(Darren Bailey / Aaron B. Del Mar,,,,,(Rick Heidner / Christina Neitzke-,,,,,WRITE-IN,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Greenwood 7,744,16,0,4,0,20,3,4,2,0,9,30,5,1,0,36,4,0,0,0,4,0,0,0,0,0,69
Greenwood 8,959,10,2,2,0,14,4,0,0,0,4,20,5,3,0,28,6,1,1,0,8,1,0,1,0,2,56
Greenwood 9,1261,26,1,0,0,27,6,3,0,0,9,23,4,3,2,32,4,0,0,2,6,0,0,0,0,0,74
Greenwood 10,723,16,3,1,0,20,4,0,3,0,7,17,6,8,3,34,1,2,1,0,4,0,0,0,0,0,65
Hartland 1,724,16,2,5,3,26,9,1,3,0,13,29,4,8,0,41,7,3,0,0,10,0,1,0,0,1,91
Hartland 2,718,20,3,1,0,24,13,2,1,0,16,26,3,4,2,35,8,1,0,0,9,0,0,0,0,0,84
Hebron 1,835,42,2,1,0,45,20,0,0,0,20,56,9,6,1,72,22,0,1,0,23,0,0,0,0,0,160
Hebron 2,830,32,3,1,2,38,16,1,2,0,19,71,4,5,1,81,12,3,4,0,19,1,0,0,0,1,158
Marengo 1,840,10,6,6,0,22,4,0,0,0,4,34,16,11,0,61,5,1,1,0,7,0,0,0,0,0,94
Marengo 2,926,15,1,0,0,16,8,3,0,0,11,27,5,4,1,37,2,1,0,0,3,0,0,0,0,0,67
Marengo 3,1120,20,6,0,0,26,3,3,0,0,6,25,17,6,0,48,10,1,2,0,13,0,0,1,0,1,94
Marengo 4,832,29,5,1,0,35,8,0,1,0,9,30,8,4,1,43,9,1,1,1,12,0,0,0,0,0,99
Marengo 5,901,49,5,5,3,62,6,2,3,1,12,27,8,5,1,41,7,1,0,0,8,0,0,1,0,1,124
McHenry 1,1001,16,5,7,0,28,5,0,0,0,5,37,3,2,0,42,13,1,1,0,15,0,0,0,0,0,90
McHenry 2,986,14,2,1,0,17,4,1,1,0,6,42,8,3,0,53,2,3,1,0,6,0,0,0,0,0,82
McHenry 3,1017,21,7,0,0,28,3,1,1,0,5,22,11,0,0,33,5,2,0,0,7,0,0,0,0,0,73
McHenry 4,1541,15,18,4,0,37,6,1,4,0,11,23,12,6,0,41,8,3,2,1,14,0,0,0,0,0,103
McHenry 5,922,13,4,2,0,19,7,1,1,0,9,15,6,8,4,33,8,3,1,0,12,0,0,0,0,0,73
McHenry 6,997,12,4,3,0,19,3,2,1,0,6,15,8,5,0,28,9,4,0,0,13,0,0,0,0,0,66
McHenry 7,997,16,8,0,0,24,5,1,0,0,6,20,3,4,1,28,6,1,2,0,9,0,0,0,0,0,67
McHenry 8,1061,32,5,2,0,39,8,1,0,0,9,43,13,4,0,60,11,1,0,1,13,0,0,0,0,0,121
McHenry 9,905,24,6,1,2,33,6,0,0,3,9,17,6,2,0,25,5,0,0,0,5,0,0,0,0,0,72
McHenry 10,980,16,6,1,0,23,3,3,1,1,8,15,9,0,0,24,3,1,0,0,4,0,0,0,0,0,59
McHenry 11,1006,9,5,2,0,16,5,2,0,0,7,12,13,2,0,27,5,0,1,0,6,0,0,0,0,0,56
McHenry 12,940,21,1,3,0,25,4,1,2,1,8,12,7,2,0,21,2,2,1,0,5,0,0,1,0,1,60
McHenry 13,1205,44,16,4,0,64,9,8,3,0,20,27,12,10,0,49,5,4,2,0,11,0,0,0,0,0,144
McHenry 14,1059,20,8,5,0,33,4,7,3,0,14,10,2,4,0,16,5,2,1,0,8,0,0,0,0,0,71
McHenry 15,900,21,7,2,2,32,1,4,1,0,6,26,6,5,0,37,6,2,0,0,8,0,0,0,0,0,83
McHenry 16,979,18,5,6,0,29,0,1,0,2,3,16,3,1,0,20,9,1,0,0,10,0,0,0,0,0,62
McHenry 17,860,14,5,1,1,21,6,0,0,1,7,20,3,4,0,27,0,0,1,0,1,0,0,0,0,0,56
