UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Casey Chlebek,,,,,Don Tracy,,,,,R. Cary Capparelli,,,,,Pamela Denise Long,,,,,"Jimmy Lee Tillman, II",,,,,Jeannie Evans,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
McHenry 2,986,9,1,0,0,10,25,4,1,0,30,4,5,1,0,10,12,1,0,0,13,3,1,1,0,5,9,2,3,0,14,82
McHenry 3,1017,8,2,0,0,10,13,6,0,0,19,3,3,0,0,6,5,0,1,0,6,6,2,0,0,8,16,8,0,0,24,73
McHenry 4,1541,9,7,2,1,19,13,10,4,0,27,10,2,3,0,15,3,6,3,0,12,5,3,3,0,11,12,5,0,0,17,101
McHenry 5,922,5,0,0,0,5,9,7,5,4,25,2,0,0,0,2,4,5,2,0,11,3,0,3,0,6,18,2,3,0,23,72
McHenry 6,997,6,1,0,0,7,8,4,4,0,16,2,1,0,0,3,9,1,1,0,11,6,4,1,0,11,9,6,3,0,18,66
McHenry 7,997,5,4,0,0,9,21,5,1,0,27,4,1,2,1,8,5,0,0,0,5,2,0,3,1,6,9,4,1,0,14,69
McHenry 8,1061,5,0,3,0,8,33,9,2,0,44,7,2,1,0,10,10,1,0,0,11,6,1,0,0,7,27,6,0,1,34,114
McHenry 9,905,4,2,1,3,10,13,6,2,1,22,9,2,0,1,12,3,0,0,0,3,2,1,0,0,3,19,1,1,0,21,71
McHenry 10,980,10,4,0,0,14,9,4,1,0,14,1,0,1,0,2,5,2,0,1,8,5,0,0,0,5,8,10,0,0,18,61
McHenry 11,1006,3,3,0,0,6,11,3,2,0,16,3,1,0,0,4,2,4,2,0,8,1,2,1,0,4,10,6,0,0,16,54
McHenry 12,940,3,1,3,0,7,17,5,3,0,25,2,4,0,0,6,3,0,2,0,5,1,0,0,1,2,14,1,1,0,16,61
McHenry 13,1205,16,5,2,0,23,16,14,8,0,38,13,10,0,0,23,9,2,5,0,16,6,2,0,0,8,20,7,5,0,32,140
