JoinField,JoinField_alt,Ward/Township,Precinct,Donna Miller,Eric France,Robert Peters,Willie Preston,"Jesse Louis Jackson, Jr.",Yumeka Brown,"Patrick J. ""PJK"" Keating",Toni C. Brown,Sidney Moore,Adal Regis,Total Voters
COOK:9000032,COOK:Rich Precinct 32,Rich,32,115,3,26,9,90,56,2,6,2,13,322
COOK:9000033,COOK:Rich Precinct 33,Rich,33,129,3,41,15,34,40,10,1,1,1,275
COOK:9000034,COOK:Rich Precinct 34,Rich,34,156,0,23,4,72,49,0,1,1,3,309
COOK:9000035,COOK:Rich Precinct 35,Rich,35,106,1,43,4,65,59,2,4,1,4,289
COOK:9000036,COOK:Rich Precinct 36,Rich,36,288,2,44,24,157,280,3,2,5,2,807
COOK:9000037,COOK:Rich Precinct 37,Rich,37,113,1,8,6,79,89,0,2,1,0,299
COOK:9000038,COOK:Rich Precinct 38,Rich,38,102,1,20,6,69,51,0,1,0,0,250
COOK:9000039,COOK:Rich Precinct 39,Rich,39,150,1,31,6,89,87,4,2,0,6,376
COOK:9000040,COOK:Rich Precinct 40,Rich,40,109,2,21,5,68,48,2,6,1,1,263
COOK:9000041,COOK:Rich Precinct 41,Rich,41,96,2,29,2,56,37,3,3,0,5,233
COOK:9000042,COOK:Rich Precinct 42,Rich,42,98,0,11,3,79,47,1,2,1,1,243
COOK:9000043,COOK:Rich Precinct 43,Rich,43,123,1,15,2,106,44,0,1,0,1,293
COOK:9000044,COOK:Rich Precinct 44,Rich,44,89,0,8,4,55,62,1,2,1,0,222
COOK:9000045,COOK:Rich Precinct 45,Rich,45,178,4,35,7,117,107,10,4,0,2,464
COOK:9000046,COOK:Rich Precinct 46,Rich,46,107,0,19,6,137,95,1,3,1,3,372
COOK:9000047,COOK:Rich Precinct 47,Rich,47,174,2,26,9,166,108,1,1,0,2,489
COOK:9500001,COOK:Thornton Precinct 1,Thornton,1,71,5,13,6,74,16,1,4,6,0,196
COOK:9500002,COOK:Thornton Precinct 2,Thornton,2,30,0,8,2,37,7,1,0,2,0,87
COOK:9500003,COOK:Thornton Precinct 3,Thornton,3,122,5,19,4,93,24,1,7,7,2,284
COOK:9500004,COOK:Thornton Precinct 4,Thornton,4,101,0,14,11,86,26,3,2,4,3,250
COOK:9500005,COOK:Thornton Precinct 5,Thornton,5,25,1,10,6,36,8,0,0,1,0,87
COOK:9500006,COOK:Thornton Precinct 6,Thornton,6,142,1,11,15,110,19,0,5,2,0,305
COOK:9500007,COOK:Thornton Precinct 7,Thornton,7,114,3,12,9,91,17,0,0,7,0,253
COOK:9500008,COOK:Thornton Precinct 8,Thornton,8,64,3,12,5,77,27,1,1,1,0,191
