JoinField,JoinField_alt,JB Pritzker & Christian Mitchell,Total Voters
COOK:7900002,COOK:Lyons Precinct 2,265,265
COOK:7900003,COOK:Lyons Precinct 3,105,105
COOK:7900004,COOK:Lyons Precinct 4,87,87
COOK:7900005,COOK:Lyons Precinct 5,211,211
COOK:7900006,COOK:Lyons Precinct 6,234,234
COOK:7900007,COOK:Lyons Precinct 7,336,336
COOK:7900008,COOK:Lyons Precinct 8,170,170
COOK:7900009,COOK:Lyons Precinct 9,284,284
COOK:7900010,COOK:Lyons Precinct 10,192,192
COOK:7900011,COOK:Lyons Precinct 11,186,186
COOK:7900012,COOK:Lyons Precinct 12,144,144
COOK:7900013,COOK:Lyons Precinct 13,110,110
COOK:7900014,COOK:Lyons Precinct 14,263,263
COOK:7900015,COOK:Lyons Precinct 15,234,234
COOK:7900016,COOK:Lyons Precinct 16,386,386
COOK:7900017,COOK:Lyons Precinct 17,140,140
COOK:7900018,COOK:Lyons Precinct 18,170,170
COOK:7900019,COOK:Lyons Precinct 19,134,134
COOK:7900020,COOK:Lyons Precinct 20,273,273
COOK:7900021,COOK:Lyons Precinct 21,281,281
COOK:7900022,COOK:Lyons Precinct 22,121,121
COOK:7900023,COOK:Lyons Precinct 23,170,170
COOK:7900024,COOK:Lyons Precinct 24,296,296
COOK:7900025,COOK:Lyons Precinct 25,151,151
COOK:7900026,COOK:Lyons Precinct 26,230,230
COOK:7900027,COOK:Lyons Precinct 27,125,125
COOK:7900028,COOK:Lyons Precinct 28,232,232
COOK:7900029,COOK:Lyons Precinct 29,107,107
COOK:7900030,COOK:Lyons Precinct 30,22,22
COOK:7900031,COOK:Lyons Precinct 31,166,166
COOK:7900032,COOK:Lyons Precinct 32,63,63
COOK:7900033,COOK:Lyons Precinct 33,39,39
COOK:7900034,COOK:Lyons Precinct 34,67,67
COOK:7900035,COOK:Lyons Precinct 35,82,82
COOK:7900036,COOK:Lyons Precinct 36,181,181
COOK:7900037,COOK:Lyons Precinct 37,112,112
COOK:7900038,COOK:Lyons Precinct 38,58,58
COOK:7900039,COOK:Lyons Precinct 39,213,213
COOK:7900040,COOK:Lyons Precinct 40,269,269
COOK:7900041,COOK:Lyons Precinct 41,86,86
COOK:7900042,COOK:Lyons Precinct 42,140,140
COOK:7900043,COOK:Lyons Precinct 43,172,172
COOK:7900044,COOK:Lyons Precinct 44,241,241
COOK:7900045,COOK:Lyons Precinct 45,338,338
COOK:7900046,COOK:Lyons Precinct 46,96,96
COOK:7900047,COOK:Lyons Precinct 47,216,216
COOK:7900048,COOK:Lyons Precinct 48,121,121
COOK:7900049,COOK:Lyons Precinct 49,86,86
