FOR UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KEVIN RYAN,,,,ROBIN KELLY,,,,JULIANA STRATTON,,,,RAJA KRISHNAMOORTHI,,,,STEVE BOTSFORD JR.,,,,BRYAN MAXWELL,,,,JONATHAN DEAN,,,,SEAN BROWN,,,,AWISI A. BUSTOS,,,,CHRISTOPHER SWANN,,,,ADAM DELGADO (WRITE-IN),,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
FRANKFORT PCT 028,2180,2,1,1,4,52,12,17,81,97,27,8,132,46,9,33,88,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,1,0,0,0,0,311
GREEN GARDEN PCT 001,1541,1,0,0,1,19,8,2,29,26,8,9,43,33,10,19,62,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,138
GREEN GARDEN PCT 002,1610,6,0,2,8,13,9,8,30,38,3,11,52,28,4,11,43,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,1,2,0,3,0,0,0,0,139
HOMER PCT 001,1559,0,2,2,4,8,3,5,16,23,2,7,32,22,5,12,39,0,0,0,0,2,0,1,3,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,98
HOMER PCT 002,1638,1,2,3,6,8,4,3,15,26,4,15,45,17,11,21,49,0,0,0,0,2,0,0,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,119
HOMER PCT 003,1309,5,1,2,8,9,2,4,15,28,7,5,40,20,9,23,52,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,119
HOMER PCT 004,1494,8,5,0,13,11,1,4,16,26,8,4,38,17,14,16,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,115
HOMER PCT 005,1149,5,0,1,6,5,4,1,10,18,1,5,24,18,6,14,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,81
HOMER PCT 006,1480,10,2,0,12,16,4,7,27,19,12,11,42,15,16,24,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,138
HOMER PCT 007,1457,8,4,2,14,14,2,3,19,41,5,9,55,20,9,23,52,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143
HOMER PCT 008,1425,4,0,0,4,14,1,3,18,18,5,11,34,20,13,23,56,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,115
HOMER PCT 009,1201,5,0,3,8,13,5,0,18,18,5,11,34,16,6,15,37,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,99
HOMER PCT 010,1024,2,0,1,3,8,1,3,12,17,4,5,26,26,3,19,48,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
HOMER PCT 011,1483,7,3,0,10,3,1,2,6,25,17,6,48,28,9,20,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
HOMER PCT 012,1548,0,0,0,0,12,1,1,14,21,5,8,34,20,13,13,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,95
HOMER PCT 013,1745,1,2,0,3,5,3,4,12,36,11,14,61,18,7,19,44,1,0,0,1,1,0,0,1,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,125
HOMER PCT 014,1590,4,1,1,6,11,5,2,18,36,7,10,53,21,11,16,48,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,129
HOMER PCT 015,1921,6,4,0,10,10,8,5,23,50,16,10,76,31,11,28,70,0,0,1,1,1,1,0,2,1,0,1,2,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,187
HOMER PCT 016,2262,11,1,2,14,22,6,3,31,44,13,24,81,33,11,24,68,0,1,1,2,2,0,2,4,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,202
