FOR UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASEY CHLEBEK,,,,DON TRACY,,,,R. CARY CAPPARELLI,,,,PAMELA DENISE LONG,,,,"JIMMY LEE TILLMAN, II",,,,JEANNIE EVANS,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
LOCKPORT PCT 022,1133,11,1,1,13,16,3,2,21,12,1,2,15,6,1,0,7,3,0,4,7,24,1,2,27,90
LOCKPORT PCT 023,1027,6,0,0,6,13,2,5,20,11,1,1,13,4,1,0,5,2,1,0,3,3,0,0,3,50
LOCKPORT PCT 024,855,1,2,0,3,4,1,1,6,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,11
MANHATTAN PCT 001,1699,15,1,2,18,53,7,9,69,20,4,0,24,4,3,3,10,5,0,0,5,34,8,4,46,172
MANHATTAN PCT 002,2095,18,3,2,23,59,9,1,69,25,1,1,27,19,2,1,22,7,0,0,7,34,4,2,40,188
MANHATTAN PCT 003,1355,13,2,2,17,40,11,8,59,20,1,1,22,6,3,0,9,10,3,0,13,29,4,2,35,155
MANHATTAN PCT 004,1614,13,2,1,16,43,2,3,48,21,1,0,22,5,2,0,7,5,1,0,6,23,8,0,31,130
MANHATTAN PCT 005,1990,16,3,1,20,43,16,6,65,16,3,3,22,9,4,0,13,9,2,0,11,39,3,3,45,176
MONEE PCT 001,1095,1,0,2,3,3,2,2,7,1,0,1,2,0,1,2,3,0,1,0,1,5,1,7,13,29
MONEE PCT 002,1286,0,0,0,0,5,1,0,6,0,0,0,0,2,0,1,3,2,1,0,3,2,0,1,3,15
MONEE PCT 003,1470,4,1,0,5,33,3,0,36,8,0,1,9,6,0,2,8,3,0,0,3,19,1,0,20,81
MONEE PCT 004,1538,10,0,0,10,21,2,3,26,8,1,4,13,5,0,1,6,0,0,0,0,20,2,3,25,80
MONEE PCT 005,1027,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
MONEE PCT 006,814,0,1,0,1,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,5
MONEE PCT 007,1181,1,0,1,2,2,0,0,2,0,0,0,0,5,2,0,7,3,0,1,4,1,0,0,1,16
MONEE PCT 008,1370,8,2,3,13,20,2,0,22,11,2,3,16,11,0,1,12,1,0,0,1,14,0,1,15,79
NEW LENOX PCT 001,1405,13,1,2,16,31,4,0,35,20,0,1,21,2,1,1,4,2,0,1,3,15,3,0,18,97
NEW LENOX PCT 002,1905,18,0,5,23,47,20,11,78,14,3,4,21,13,1,1,15,10,0,2,12,33,14,7,54,203
NEW LENOX PCT 003,1231,10,4,0,14,32,5,3,40,11,2,0,13,3,6,1,10,2,1,3,6,25,8,1,34,117
NEW LENOX PCT 004,1036,12,3,2,17,31,8,9,48,6,0,2,8,12,1,1,14,4,0,0,4,18,1,3,22,113
NEW LENOX PCT 005,1337,6,5,1,12,25,8,3,36,8,4,0,12,13,2,1,16,5,0,0,5,25,5,4,34,115
NEW LENOX PCT 006,1521,20,4,3,27,33,12,8,53,22,2,0,24,9,1,1,11,10,1,1,12,44,7,2,53,180
