JoinField,JoinField_alt,Ward/Township,Precinct,Samantha Steele,"Elizabeth ""Liz"" Nicholson",Total Voters
CITY OF CHICAGO:WARD 34 PRECINCT 15,CITY OF CHICAGO:WARD 34 PRECINCT 15,34,15,33,52,85
CITY OF CHICAGO:WARD 35 PRECINCT 05,CITY OF CHICAGO:WARD 35 PRECINCT 05,35,5,119,189,308
CITY OF CHICAGO:WARD 35 PRECINCT 06,CITY OF CHICAGO:WARD 35 PRECINCT 06,35,6,200,327,527
CITY OF CHICAGO:WARD 35 PRECINCT 08,CITY OF CHICAGO:WARD 35 PRECINCT 08,35,8,69,137,206
CITY OF CHICAGO:WARD 35 PRECINCT 09,CITY OF CHICAGO:WARD 35 PRECINCT 09,35,9,135,294,429
CITY OF CHICAGO:WARD 35 PRECINCT 11,CITY OF CHICAGO:WARD 35 PRECINCT 11,35,11,7,15,22
CITY OF CHICAGO:WARD 35 PRECINCT 12,CITY OF CHICAGO:WARD 35 PRECINCT 12,35,12,156,253,409
CITY OF CHICAGO:WARD 35 PRECINCT 14,CITY OF CHICAGO:WARD 35 PRECINCT 14,35,14,92,143,235
CITY OF CHICAGO:WARD 35 PRECINCT 15,CITY OF CHICAGO:WARD 35 PRECINCT 15,35,15,137,218,355
CITY OF CHICAGO:WARD 35 PRECINCT 16,CITY OF CHICAGO:WARD 35 PRECINCT 16,35,16,165,315,480
CITY OF CHICAGO:WARD 35 PRECINCT 17,CITY OF CHICAGO:WARD 35 PRECINCT 17,35,17,143,208,351
CITY OF CHICAGO:WARD 35 PRECINCT 18,CITY OF CHICAGO:WARD 35 PRECINCT 18,35,18,97,129,226
CITY OF CHICAGO:WARD 35 PRECINCT 19,CITY OF CHICAGO:WARD 35 PRECINCT 19,35,19,91,204,295
CITY OF CHICAGO:WARD 35 PRECINCT 20,CITY OF CHICAGO:WARD 35 PRECINCT 20,35,20,66,103,169
CITY OF CHICAGO:WARD 35 PRECINCT 21,CITY OF CHICAGO:WARD 35 PRECINCT 21,35,21,121,181,302
CITY OF CHICAGO:WARD 35 PRECINCT 22,CITY OF CHICAGO:WARD 35 PRECINCT 22,35,22,145,237,382
CITY OF CHICAGO:WARD 36 PRECINCT 01,CITY OF CHICAGO:WARD 36 PRECINCT 01,36,1,47,82,129
CITY OF CHICAGO:WARD 36 PRECINCT 02,CITY OF CHICAGO:WARD 36 PRECINCT 02,36,2,59,88,147
