JoinField,JoinField_alt,Toni Preckwinkle,Brendan Reilly,Total Voters
COOK:9800006,COOK:Cicero Precinct 6,105,64,169
COOK:9800007,COOK:Cicero Precinct 7,62,31,93
COOK:9800008,COOK:Cicero Precinct 8,62,51,113
COOK:9800009,COOK:Cicero Precinct 9,105,60,165
COOK:9800010,COOK:Cicero Precinct 10,114,76,190
COOK:9800011,COOK:Cicero Precinct 11,110,92,202
COOK:9800012,COOK:Cicero Precinct 12,110,74,184
COOK:9800013,COOK:Cicero Precinct 13,112,79,191
COOK:9800014,COOK:Cicero Precinct 14,101,67,168
COOK:9800015,COOK:Cicero Precinct 15,104,57,161
COOK:9800016,COOK:Cicero Precinct 16,61,44,105
COOK:9800017,COOK:Cicero Precinct 17,81,55,136
COOK:9800018,COOK:Cicero Precinct 18,76,29,105
COOK:9800019,COOK:Cicero Precinct 19,121,78,199
COOK:9800020,COOK:Cicero Precinct 20,74,40,114
COOK:9800021,COOK:Cicero Precinct 21,82,56,138
COOK:9800022,COOK:Cicero Precinct 22,93,60,153
COOK:9800023,COOK:Cicero Precinct 23,95,92,187
COOK:9800024,COOK:Cicero Precinct 24,121,68,189
COOK:9800025,COOK:Cicero Precinct 25,92,46,138
COOK:9800026,COOK:Cicero Precinct 26,70,66,136
COOK:9800027,COOK:Cicero Precinct 27,118,77,195
COOK:9800028,COOK:Cicero Precinct 28,95,54,149
COOK:9800029,COOK:Cicero Precinct 29,87,62,149
COOK:9800030,COOK:Cicero Precinct 30,109,82,191
COOK:9800031,COOK:Cicero Precinct 31,78,61,139
COOK:7400001,COOK:Elk Grove Precinct 1,139,63,202
COOK:7400002,COOK:Elk Grove Precinct 2,62,35,97
COOK:7400003,COOK:Elk Grove Precinct 3,180,109,289
COOK:7400004,COOK:Elk Grove Precinct 4,102,50,152
COOK:7400005,COOK:Elk Grove Precinct 5,185,92,277
COOK:7400006,COOK:Elk Grove Precinct 6,171,100,271
COOK:7400007,COOK:Elk Grove Precinct 7,158,103,261
COOK:7400008,COOK:Elk Grove Precinct 8,110,73,183
COOK:7400009,COOK:Elk Grove Precinct 9,99,59,158
COOK:7400010,COOK:Elk Grove Precinct 10,171,98,269
COOK:7400011,COOK:Elk Grove Precinct 11,115,90,205
COOK:7400012,COOK:Elk Grove Precinct 12,167,113,280
COOK:7400013,COOK:Elk Grove Precinct 13,57,24,81
COOK:7400014,COOK:Elk Grove Precinct 14,141,75,216
COOK:7400015,COOK:Elk Grove Precinct 15,119,85,204
COOK:7400016,COOK:Elk Grove Precinct 16,136,79,215
COOK:7400017,COOK:Elk Grove Precinct 17,82,40,122
COOK:7400018,COOK:Elk Grove Precinct 18,159,73,232
COOK:7400019,COOK:Elk Grove Precinct 19,131,83,214
COOK:7400020,COOK:Elk Grove Precinct 20,149,89,238
COOK:7400021,COOK:Elk Grove Precinct 21,77,52,129
COOK:7400022,COOK:Elk Grove Precinct 22,85,67,152
COOK:7400023,COOK:Elk Grove Precinct 23,168,101,269
COOK:7400024,COOK:Elk Grove Precinct 24,85,48,133
COOK:7400025,COOK:Elk Grove Precinct 25,85,50,135
COOK:7400026,COOK:Elk Grove Precinct 26,68,54,122
COOK:7400027,COOK:Elk Grove Precinct 27,109,82,191
COOK:7400028,COOK:Elk Grove Precinct 28,124,62,186
COOK:7400029,COOK:Elk Grove Precinct 29,142,92,234
COOK:7400030,COOK:Elk Grove Precinct 30,87,70,157
COOK:7400031,COOK:Elk Grove Precinct 31,92,56,148
COOK:7400032,COOK:Elk Grove Precinct 32,49,26,75
COOK:7400033,COOK:Elk Grove Precinct 33,134,84,218
COOK:7400034,COOK:Elk Grove Precinct 34,215,124,339
COOK:7400035,COOK:Elk Grove Precinct 35,75,37,112
COOK:7400036,COOK:Elk Grove Precinct 36,65,31,96
COOK:7400037,COOK:Elk Grove Precinct 37,81,87,168
COOK:7400038,COOK:Elk Grove Precinct 38,52,21,73
COOK:7400039,COOK:Elk Grove Precinct 39,120,69,189
COOK:7400040,COOK:Elk Grove Precinct 40,102,59,161
COOK:7400041,COOK:Elk Grove Precinct 41,129,54,183
COOK:7400042,COOK:Elk Grove Precinct 42,80,30,110
COOK:7400043,COOK:Elk Grove Precinct 43,126,77,203
COOK:7400044,COOK:Elk Grove Precinct 44,55,38,93
COOK:7400045,COOK:Elk Grove Precinct 45,98,58,156
COOK:7501001,COOK:Evanston Ward 1 Precinct 1,97,30,127
COOK:7501002,COOK:Evanston Ward 1 Precinct 2,261,95,356
COOK:7501003,COOK:Evanston Ward 1 Precinct 3,246,101,347
COOK:7501004,COOK:Evanston Ward 1 Precinct 4,480,193,673
COOK:7502001,COOK:Evanston Ward 2 Precinct 1,544,173,717
COOK:7502002,COOK:Evanston Ward 2 Precinct 2,256,53,309
COOK:7502003,COOK:Evanston Ward 2 Precinct 3,257,61,318
COOK:7502004,COOK:Evanston Ward 2 Precinct 4,434,81,515
COOK:7502005,COOK:Evanston Ward 2 Precinct 5,151,32,183
COOK:7503001,COOK:Evanston Ward 3 Precinct 1,290,148,438
COOK:7503002,COOK:Evanston Ward 3 Precinct 2,370,135,505
COOK:7503003,COOK:Evanston Ward 3 Precinct 3,454,136,590
COOK:7503004,COOK:Evanston Ward 3 Precinct 4,480,147,627
COOK:7503005,COOK:Evanston Ward 3 Precinct 5,326,96,422
COOK:7504001,COOK:Evanston Ward 4 Precinct 1,193,44,237
COOK:7504002,COOK:Evanston Ward 4 Precinct 2,257,54,311
COOK:7504003,COOK:Evanston Ward 4 Precinct 3,160,64,224
COOK:7504004,COOK:Evanston Ward 4 Precinct 4,536,169,705
COOK:7504005,COOK:Evanston Ward 4 Precinct 5,166,61,227
COOK:7504006,COOK:Evanston Ward 4 Precinct 6,370,130,500
COOK:7504007,COOK:Evanston Ward 4 Precinct 7,131,65,196
